,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
753,2017-07-10,6335.834171016301,6335.834171016301,6335.834171016301,6293.100551689837,6074.016719115639,6508.550363398333
754,2017-07-11,6336.778636194311,6336.778636194311,6336.778636194311,6316.118965821433,6093.625558135858,6534.647944526064
755,2017-07-12,6337.72310137232,6337.72310137232,6337.72310137232,6328.476327471258,6097.549844795318,6543.127028008358
756,2017-07-13,6338.667566550331,6338.667566550331,6338.667566550331,6335.166361516291,6117.792210501736,6542.681841590591
757,2017-07-14,6339.61203172834,6339.61203172834,6339.61203172834,6347.483291193375,6133.418322562254,6567.621745607314
758,2017-07-17,6342.445427262372,6342.445427262372,6342.445427262372,6368.697218588326,6136.854117668392,6587.086772015207
759,2017-07-18,6343.389892440381,6343.389892440382,6343.389892440382,6388.033796342955,6170.241801771833,6615.522817361869
760,2017-07-19,6344.334357618392,6344.334357618392,6344.334357618392,6395.7285023384675,6172.346684737353,6619.3494482544575
761,2017-07-20,6345.278822796401,6345.278822796401,6345.278822796401,6396.867243833342,6174.781513553271,6612.84404750176
762,2017-07-21,6346.2232879744115,6346.2232879744115,6346.2232879744115,6402.854068619445,6203.039345566819,6628.569630305326
763,2017-07-24,6349.056683508442,6349.056683508442,6349.056683508442,6401.705716837908,6188.899998389656,6632.535125300934
764,2017-07-25,6350.001148686451,6350.001148686451,6350.001148686451,6412.942286597517,6176.7456571092725,6616.425812464646
765,2017-07-26,6350.945613864462,6350.945613864462,6350.945613864462,6412.463025390195,6189.493324932346,6640.966390852601
766,2017-07-27,6351.890079042471,6351.890079042471,6351.890079042471,6405.501775348978,6175.037176861999,6617.174326853618
767,2017-07-28,6352.834544220482,6352.834544220482,6352.834544220482,6403.604743980396,6187.167782635466,6614.790396454224
768,2017-07-31,6355.667939754512,6355.667939754512,6355.667939754512,6381.372350537031,6154.170010128257,6592.576956959337
769,2017-08-01,6356.612404932523,6356.612404932523,6356.612404932523,6386.79176263023,6175.25950200549,6615.133404601588
770,2017-08-02,6357.556870110532,6357.556870110532,6357.556870110532,6381.23680242959,6173.648248129559,6612.471948782562
771,2017-08-03,6358.501335288542,6358.501335288542,6358.501335288542,6369.995044985753,6136.137709204806,6600.289418792994
772,2017-08-04,6366.057376418994,6366.057376418994,6366.057376418994,6371.25836111016,6159.43778950954,6600.636589582529
773,2017-08-07,6388.725499810349,6388.725499810349,6388.725499810349,6363.531069835346,6141.348699036523,6578.042636914333
774,2017-08-08,6396.281540940801,6396.281540940801,6396.281540940801,6375.384148404018,6161.180171356736,6591.219526648137
775,2017-08-09,6403.837582071253,6403.837582071253,6403.837582071253,6376.982788528992,6140.391511954882,6585.76608293737
